GeneID,GeneName,IsCoding,log2FoldChange,stat,pvalue,padj,MDA-Enza_1,MDA-Enza_2,MDA-Enza_3,MDA-DMSO_1,MDA-DMSO_2,MDA-DMSO_3
ENSG00000001617,SEMA3F,TRUE,2.135480262,38.39316661,0,0,31088.96423,30508.2075,32705.50482,7413.928691,6931.050249,7116.637224
ENSG00000006747,SCIN,TRUE,4.710862126,49.73404439,0,0,5715.457021,5476.400001,6280.590854,221.4657649,199.0352356,245.8649297
ENSG00000021645,NRXN3,TRUE,2.325209179,40.71065588,0,0,12716.37468,12591.71641,12880.09887,2510.63526,2657.824055,2451.926428
ENSG00000049246,PER3,TRUE,3.855098032,46.46327295,0,0,4830.586166,4641.608898,4855.849816,366.3499102,302.5737672,321.7373104
ENSG00000067715,SYT1,TRUE,7.378012773,53.54546106,0,0,8224.315088,7315.49591,8059.684294,43.46524358,47.24573774,50.90172373
ENSG00000069122,GPR116,TRUE,-4.979792295,-37.60851046,0,0,71.46672155,74.96083373,61.09524177,2096.68056,2100.927487,2409.668393
ENSG00000070526,ST6GALNAC1,TRUE,-3.036081297,-47.20288832,0,0,3266.781456,3083.616115,3024.214468,27395.5221,24327.53402,25194.43243
ENSG00000073282,TP63,TRUE,6.713661216,39.331019,0,0,3690.880027,3069.135045,3099.972567,34.15126282,31.16208234,28.81229645
ENSG00000076864,RAP1GAP,TRUE,-2.226876938,-44.36483767,0,0,12260.30415,12520.16289,11884.24643,58498.00854,56222.42791,56939.82066
ENSG00000081277,PKP1,TRUE,-4.526834689,-59.02369169,0,0,455.1301741,520.4666978,532.7505082,11818.40671,11978.30236,10919.86036
ENSG00000082556,OPRK1,TRUE,5.382369819,55.67950812,0,0,6920.04742,7352.976327,6875.658509,167.6516538,198.0300071,142.1406625
ENSG00000085276,MECOM,TRUE,2.56152696,37.67999773,0,0,5401.379587,5024.079515,5136.887928,866.2002114,905.7108447,864.3688936
ENSG00000089127,OAS1,TRUE,5.004277909,61.44419253,0,0,12011.11098,11727.96317,11471.24259,411.8849273,368.9188457,317.8956709
ENSG00000089472,HEPH,TRUE,6.335781561,39.72822582,0,0,3546.065881,3041.024732,2931.3497,43.46524358,29.15162541,45.13926444
ENSG00000091157,WDR7,TRUE,2.824349873,47.58489192,0,0,29530.80163,27506.36684,30805.44281,4172.663384,4103.342584,4124.960442
ENSG00000095739,BAMBI,TRUE,3.551196128,57.2151828,0,0,9885.916364,9630.763479,10122.25966,837.2233824,851.4285077,839.3982367
ENSG00000096060,FKBP5,TRUE,-3.044478135,-38.98976872,0,0,3670.192292,3999.330845,3751.247845,31039.35835,28224.80477,34977.16748
ENSG00000099250,NRP1,TRUE,-1.808515268,-38.25193426,0,0,18420.54748,18604.76784,18580.28493,65847.77426,65490.63433,63437.95392
ENSG00000100167,SEPT3,TRUE,2.697772121,38.369759,0,0,4026.585548,4264.249246,4143.479297,642.664673,637.3148452,636.7517516
ENSG00000100336,APOL4,TRUE,4.505876982,44.5651544,0,0,3571.455374,3771.041033,3388.342109,165.5818803,137.7162994,169.0321392
ENSG00000100342,APOL1,TRUE,6.22140331,37.58213101,0,0,2646.149401,2437.078924,2298.402995,34.15126282,38.19868157,26.89147669
ENSG00000100504,PYGL,TRUE,5.280396753,48.29354339,0,0,3714.388817,3719.931374,3742.694511,91.07003418,85.44441931,110.4471364
ENSG00000101255,TRIB3,TRUE,-2.497733748,-43.37639289,0,0,6242.994268,6231.119304,6531.081345,37750.59894,34374.7925,35193.25971
ENSG00000102290,PCDH11X,TRUE,6.926937673,50.64352437,0,0,5612.018345,5806.057303,5961.673692,33.11637606,58.30325082,50.90172373
ENSG00000103257,SLC7A5,TRUE,-2.155029644,-44.33222627,0,0,28540.61139,28081.35051,28651.22458,130413.3238,123451.1022,125915.498
ENSG00000103316,CRYM,TRUE,-4.374873354,-62.55737748,0,0,1160.393874,1107.375953,1058.169587,24779.32839,21757.16484,22534.09706
ENSG00000103489,XYLT1,TRUE,9.132539701,42.04862943,0,0,7730.630498,7584.673449,8239.304305,9.313980768,16.0836554,16.32696799
ENSG00000103811,CTSH,TRUE,3.076450001,39.45380955,0,0,22799.76488,21805.93617,21121.84698,2940.113262,2379.375771,2474.015855
ENSG00000104154,SLC30A4,TRUE,2.851091181,44.85238603,0,0,119148.1897,113681.5117,132146.5641,16859.34008,17104.96752,16617.01177
ENSG00000104490,NCALD,TRUE,4.968277747,74.01987256,0,0,16324.50376,16388.31227,16754.7591,557.8039593,531.7658566,491.7298595
ENSG00000105696,TMEM59L,TRUE,3.515319338,43.32516249,0,0,4350.066499,4139.882408,4134.925963,401.5360598,355.8508757,347.6683772
ENSG00000106665,CLIP2,TRUE,3.497677405,47.01295228,0,0,6001.323907,5836.723099,6313.582285,570.2226003,507.6403735,529.1858449
ENSG00000108679,LGALS3BP,TRUE,3.546759784,64.58832625,0,0,32380.06697,34293.7296,33026.8658,2927.694621,2762.367815,2841.85284
ENSG00000109576,AADAT,TRUE,-2.190035714,-38.90491551,0,0,6934.152693,6400.633007,6890.321367,30569.51977,30026.17417,31673.35749
ENSG00000109906,ZBTB16,TRUE,-5.506872571,-50.69864975,0,0,94.97551153,97.10835279,91.64286266,4214.058854,4210.902029,4510.084805
ENSG00000110092,CCND1,TRUE,2.339326704,44.73215798,0,0,227068.5814,212739.698,210240.946,42649.75282,43566.60156,42235.94537
ENSG00000111249,CUX2,TRUE,-3.094636431,-42.80702984,0,0,646.0215487,683.1657801,717.2581384,5619.435063,5741.864978,6092.84029
ENSG00000111331,OAS3,TRUE,3.182893778,46.89604691,0,0,8782.883938,8695.456713,8046.243341,896.2119272,957.9827247,956.5682422
ENSG00000112183,RBM24,TRUE,-5.622027446,-42.24182241,0,0,62.06320556,49.40600405,81.86762397,3281.625891,2928.230511,3090.599
ENSG00000112773,FAM46A,TRUE,6.378981044,61.07498195,0,0,10328.82197,9235.515447,10799.19494,125.221297,117.6117301,121.972055
ENSG00000112902,SEMA5A,TRUE,9.734354539,50.96020741,0,0,17237.58517,16239.24243,20167.53931,25.8721688,17.08888386,20.16860752
ENSG00000113448,PDE4D,TRUE,3.118653101,38.33223248,0,0,4364.171773,4141.586064,4148.366916,454.3152841,538.8024559,463.8779729
ENSG00000114279,FGF12,TRUE,-4.604889339,-50.39082117,0,0,648.8426035,546.0215275,543.7476518,15509.84775,14242.07686,12596.73601
ENSG00000115414,FN1,TRUE,-2.607830529,-52.26022155,0,0,139113.7349,137874.2689,138964.7931,863234.226,862856.9501,809497.7958
ENSG00000116761,CTH,TRUE,-2.643945077,-39.19287717,0,0,800.239211,780.2741329,750.2495689,4973.66573,4844.195961,4766.514243
ENSG00000117069,ST6GALNAC5,TRUE,4.874436865,56.58537273,0,0,20967.95996,20564.82327,24394.10813,740.9789144,679.5344406,825.9524983
ENSG00000117226,GBP3,TRUE,3.4106009,42.67620435,0,0,8426.490682,7485.009613,7138.368048,752.3626687,694.6128676,721.2678212
ENSG00000117228,GBP1,TRUE,3.210115459,47.2498058,0,0,7982.644727,8384.539618,7741.989037,892.0723802,823.2821108,890.2999604
ENSG00000117602,RCAN3,TRUE,2.473070443,46.56651557,0,0,38769.75609,37405.45603,36607.04696,6589.12395,6976.28553,6747.839829
ENSG00000118263,KLF7,TRUE,3.465499344,38.26905791,0,0,8951.206874,10125.67535,11650.86261,897.246814,927.8258709,955.6078324
ENSG00000119917,IFIT3,TRUE,4.466003425,38.12683999,0,0,2154.345514,2055.460134,2044.24679,106.5933355,92.48101855,84.5160696
ENSG00000120549,KIAA1217,TRUE,2.77068023,39.64974925,0,0,18902.0075,17179.66017,19978.14406,2600.670408,2836.754721,2775.584558
